name,age_group,population
China_Shandong,65+,10184761
China_Shanghai,0-4,878896
China_Shanghai,5-19,2522219
China_Shanghai,20-49,13693249
China_Shanghai,50-64,4926021
China_Shanghai,65+,2393624
China_Shanxi,0-4,2018259
China_Shanxi,5-19,7317479
China_Shanxi,20-49,19300124
China_Shanxi,50-64,6287167
China_Shanxi,65+,2953103
China_Sichuan,0-4,4331474
China_Sichuan,5-19,15428248
China_Sichuan,20-49,40755287
China_Sichuan,50-64,15320811
China_Sichuan,65+,9455487
China_Tianjin,0-4,555292
China_Tianjin,5-19,1707507
China_Tianjin,20-49,7639323
China_Tianjin,50-64,2660209
China_Tianjin,65+,1159883
China_Tibet,0-4,262955
China_Tibet,5-19,795630
China_Tibet,20-49,1650165
China_Tibet,50-64,313126
China_Tibet,65+,162174
China_Xinjiang,0-4,1696681
China_Xinjiang,5-19,4514097
China_Xinjiang,20-49,12588836
China_Xinjiang,50-64,2802590
China_Xinjiang,65+,1532920
China_Yunnan,0-4,3190783
China_Yunnan,5-19,10393673
China_Yunnan,20-49,25076188
China_Yunnan,50-64,6346960
China_Yunnan,65+,3744034
China_Zhejiang,0-4,2399288
China_Zhejiang,5-19,8368192
China_Zhejiang,20-49,31439732
China_Zhejiang,50-64,10025905
China_Zhejiang,65+,5491870
Colombia,0-4,3552763
Colombia,5-19,11194411
Colombia,20-49,24427016
Colombia,50-64,8400540
Colombia,65+,5034971
Comoros,0-4,114498
Comoros,5-19,291500
Comoros,20-49,339164
Comoros,50-64,74859
Comoros,65+,38486
Congo,0-4,891045
Congo,5-19,2313624
Congo,20-49,2345102
Congo,50-64,523328
Congo,65+,184528
Costa_Rica,0-4,276496
Costa_Rica,5-19,1060085
Costa_Rica,20-49,2308848
Costa_Rica,50-64,860218
Costa_Rica,65+,612427
Cote_dIvoire,0-4,4613889
Cote_dIvoire,5-19,11667241
Cote_dIvoire,20-49,12265465
Cote_dIvoire,50-64,2184968
Cote_dIvoire,65+,816225
Croatia,0-4,167592
Croatia,5-19,582863
Croatia,20-49,1418468
Croatia,50-64,826869
Croatia,65+,893543
Cuba,0-4,494938
Cuba,5-19,1782174
Cuba,20-49,4202746
Cuba,50-64,2720350
Cuba,65+,1800384
Cyprus,0-4,74272
Cyprus,5-19,209451
Cyprus,20-49,633400
Cyprus,50-64,239237
Cyprus,65+,195476
Czech_Republic,0-4,534749
Czech_Republic,5-19,1715129
Czech_Republic,20-49,4256884
Czech_Republic,50-64,2051818
Czech_Republic,65+,2232973
Democratic_Republic_of_the_Congo,0-4,19535193
Democratic_Republic_of_the_Congo,5-19,41168796
Democratic_Republic_of_the_Congo,20-49,36396346
Democratic_Republic_of_the_Congo,50-64,7113194
Democratic_Republic_of_the_Congo,65+,3302620
Denmark,0-4,307091
Denmark,5-19,982590
Denmark,20-49,2256106
Denmark,50-64,1180601
Denmark,65+,1237514
Djibouti,0-4,114562
Djibouti,5-19,341681
Djibouti,20-49,520244
Djibouti,50-64,128757
Djibouti,65+,55627
Dominican_Republic,0-4,998755
Dominican_Republic,5-19,3016762
Dominican_Republic,20-49,4944134
Dominican_Republic,50-64,1541191
Dominican_Republic,65+,879146
Ecuador,0-4,1388446
Ecuador,5-19,4651355
Ecuador,20-49,8177391
Ecuador,50-64,2356759
Ecuador,65+,1484206
Egypt,0-4,11751272
Egypt,5-19,36092790
Egypt,20-49,48862925
Egypt,50-64,13047186
Egypt,65+,5824236
